prod_id, category, title, actor, price
1,14, ACADEMY ACADEMY, PENELOPE GUINESS,25.99
2,6, ACADEMY ACE, EWAN RICKMAN,20.99
3,6, ACADEMY ADAPTATION, VIVIEN KAHN,28.99
4,3, ACADEMY AFFAIR, ALAN MARX,14.99
5,3, ACADEMY AFRICAN, CARRIE HANNAH,11.99
6,9, ACADEMY AGENT, LISA SPACEK,15.99
7,8, ACADEMY AIRPLANE, FRANCES WINFREY,25.99
8,7, ACADEMY AIRPORT, FARRAH TOMEI,16.99
9,2, ACADEMY ALABAMA, JULIETTE WEAVER,10.99
10,15, ACADEMY ALADDIN, ANNETTE FREEMAN,9.99
11,4, ACADEMY ALAMO, SOPHIA WINFREY,26.99
12,7, ACADEMY ALASKA, JUDY REYNOLDS,23.99
13,8, ACADEMY ALI, TIM WASHINGTON,24.99
14,11, ACADEMY ALICE, MENA GABLE,12.99
15,14, ACADEMY ALIEN, DORIS FONDA,27.99
16,16, ACADEMY ALLEY, MARLON LUGOSI,27.99
17,7, ACADEMY ALONE, MEL SILVERSTONE,28.99
18,16, ACADEMY ALTER, CHARLIZE WAHLBERG,27.99
19,10, ACADEMY AMADEUS, RALPH DREYFUSS,15.99
20,4, ACADEMY AMELIE, KIM DOUGLAS,17.99
21,2, ACADEMY AMERICAN, JON BULLOCK,24.99
22,11, ACADEMY AMISTAD, NICOLE GOODING,16.99
23,10, ACADEMY ANACONDA, CHARLTON DENCH,24.99
24,3, ACADEMY ANALYZE, AUDREY POITIER,28.99
25,3, ACADEMY ANGELS, REESE DENCH,24.99
26,11, ACADEMY ANNIE, BOB PRESLEY,11.99
27,2, ACADEMY ANONYMOUS, JESSICA DAFOE,26.99
28,1, ACADEMY ANTHEM, ZERO CHASE,13.99
29,16, ACADEMY ANTITRUST, SCARLETT BASINGER,10.99
30,10, ACADEMY ANYTHING, CHRIS CRONYN,17.99
31,6, ACADEMY APACHE, LAURA LANCASTER,18.99
32,9, ACADEMY APOCALYPSE, FRED PRESLEY,29.99
33,12, ACADEMY APOLLO, ANDY MCGREGOR,24.99
34,14, ACADEMY ARABIA, WILLEM SORVINO,24.99
35,11, ACADEMY ARACHNOPHOBIA, CHRIS JOHANSSON,26.99
36,11, ACADEMY ARGONAUTS, LUCILLE DENIRO,13.99
37,6, ACADEMY ARIZONA, AUDREY DEE,22.99
38,9, ACADEMY ARK, FARRAH WINFREY,20.99
39,8, ACADEMY ARMAGEDDON, UMA MALDEN,18.99
40,7, ACADEMY ARMY, GREG AFFLECK,21.99
41,11, ACADEMY ARSENIC, JOE HUSTON,15.99
42,10, ACADEMY ARTIST, IAN BALL,23.99
43,6, ACADEMY ATLANTIS, LIAM CRONYN,22.99
44,12, ACADEMY ATTACKS, SYLVESTER DAFOE,23.99
45,9, ACADEMY ATTRACTION, ELVIS BLANCHETT,27.99
46,2, ACADEMY AUTUMN, LAURA GARCIA,21.99
47,13, ACADEMY BABY, GLENN DRIVER,12.99
48,14, ACADEMY BACKLASH, CUBA FONDA,18.99
49,13, ACADEMY BADMAN, CARMEN OLIVIER,23.99
50,16, ACADEMY BAKED, SALMA VOIGHT,13.99
51,5, ACADEMY BALLOON, SPENCER TRACY,27.99
52,3, ACADEMY BALLROOM, SALMA DIETRICH,19.99
53,8, ACADEMY BANG, CLINT DUKAKIS,23.99
54,10, ACADEMY BANGER, ROCK JACKMAN,24.99
55,8, ACADEMY BARBARELLA, CATE BRODY,16.99
56,15, ACADEMY BAREFOOT, ROCK MCDORMAND,26.99
57,7, ACADEMY BASIC, LIAM MOORE,14.99
58,2, ACADEMY BEACH, GWYNETH MIRANDA,15.99
59,7, ACADEMY BEAR, LAUREN WASHINGTON,14.99
60,8, ACADEMY BEAST, SHIRLEY CHASE,22.99
61,9, ACADEMY BEAUTY, ROBERT HECHE,17.99
62,12, ACADEMY BED, WILLIAM MCQUEEN,16.99
63,7, ACADEMY BEDAZZLED, PENELOPE AKROYD,25.99
64,14, ACADEMY BEETHOVEN, ANGELINA PESCI,18.99
65,4, ACADEMY BEHAVIOR, SANDRA HUNT,10.99
66,5, ACADEMY BENEATH, RICHARD MOORE,11.99
67,8, ACADEMY BERETS, MERYL RUSH,18.99
68,10, ACADEMY BETRAYED, LENA KELLY,16.99
69,8, ACADEMY BEVERLY, LIAM COOPER,20.99
70,4, ACADEMY BIKINI, AUDREY SOBIESKI,11.99
71,8, ACADEMY BILKO, ROBERT DEAN,15.99
72,6, ACADEMY BILL, MARLON SILVERSTONE,9.99
73,11, ACADEMY BINGO, GARY SPACEK,13.99
74,2, ACADEMY BIRCH, PENELOPE NEWMAN,24.99
75,6, ACADEMY BIRD, DREW HEPBURN,17.99
76,9, ACADEMY BIRDCAGE, HELEN ALLEN,17.99
77,5, ACADEMY BIRDS, KEVIN MIRANDA,28.99
78,12, ACADEMY BLACKOUT, MARISA FIELD,9.99
79,10, ACADEMY BLADE, JULIA MINELLI,17.99
80,13, ACADEMY BLANKET, CHARLTON NICHOLSON,9.99
81,4, ACADEMY BLINDNESS, MICHELLE MCCONAUGHEY,20.99
82,5, ACADEMY BLOOD, MARLON DIAZ,27.99
83,11, ACADEMY BLUES, MARLENE TEMPLE,15.99
84,3, ACADEMY BOILED, ROBERT JOLIE,23.99
85,7, ACADEMY BONNIE, SANDRA PALTROW,20.99
86,4, ACADEMY BOOGIE, KEVIN WALKEN,28.99
87,16, ACADEMY BOONDOCK, RIP RYDER,21.99
88,15, ACADEMY BORN, SCARLETT FINNEY,21.99
89,13, ACADEMY BORROWERS, ELVIS RYAN,21.99
90,13, ACADEMY BOULEVARD, SCARLETT TAUTOU,22.99
91,10, ACADEMY BOUND, KATE MIRANDA,12.99
92,12, ACADEMY BOWFINGER, ROBIN KEATON,19.99
93,9, ACADEMY BRANNIGAN, RIP BARRYMORE,17.99
94,3, ACADEMY BRAVEHEART, EDWARD HAWKE,17.99
95,10, ACADEMY BREAKFAST, LAUREN SILVERSTONE,18.99
96,1, ACADEMY BREAKING, MARILYN BERGMAN,21.99
97,11, ACADEMY BRIDE, NICK WAHLBERG,18.99
98,16, ACADEMY BRIGHT, SISSY WEAVER,25.99
99,4, ACADEMY BRINGING, VAL HURT,18.99
100,3, ACADEMY BROOKLYN, PENELOPE HOPPER,25.99
101,13, ACADEMY BROTHERHOOD, GOLDIE WILLIS,17.99
102,10, ACADEMY BUBBLE, JODIE CRUISE,16.99
103,4, ACADEMY BUCKET, SANDRA MARX,11.99
104,11, ACADEMY BUGSY, MEG MALDEN,21.99
105,10, ACADEMY BULL, ALAN DENCH,16.99
106,10, ACADEMY BULWORTH, SIDNEY ROBBINS,28.99
107,8, ACADEMY BUNCH, MAE RYDER,29.99
108,15, ACADEMY BUTCH, SISSY GARLAND,24.99
109,16, ACADEMY BUTTERFLY, SANDRA BRODY,22.99
110,3, ACADEMY CABIN, CHRISTIAN DREYFUSS,13.99
111,3, ACADEMY CADDYSHACK, VAL DEAN,9.99
112,8, ACADEMY CALENDAR, SUSAN MIRANDA,11.99
113,7, ACADEMY CALIFORNIA, JANE JOHANSSON,15.99
114,10, ACADEMY CAMELOT, ALICIA CRUISE,18.99
115,6, ACADEMY CAMPUS, ANDY ZELLWEGER,19.99
116,12, ACADEMY CANDIDATE, SIDNEY FISHER,22.99
117,13, ACADEMY CANDLES, MICHAEL SANDLER,23.99
118,13, ACADEMY CANYON, RICHARD DUNST,12.99
119,2, ACADEMY CAPER, ED CHASE,11.99
120,15, ACADEMY CARIBBEAN, ANNE WEAVER,28.99
121,10, ACADEMY CAROL, LAUREN COOPER,19.99
122,9, ACADEMY CARRIE, NATALIE LOREN,13.99
123,9, ACADEMY CASABLANCA, TIM ANISTON,16.99
124,7, ACADEMY CASPER, MEG FAWCETT,22.99
125,12, ACADEMY CASSIDY, DENNIS FONDA,24.99
126,1, ACADEMY CASUALTIES, RUSSELL STREEP,21.99
127,9, ACADEMY CAT, ELIZABETH STREEP,14.99
128,15, ACADEMY CATCH, KARL MATTHAU,26.99
129,6, ACADEMY CAUSE, ANGELA GARBO,9.99
